"DOI";"Paper_ID";"Title";"Country";"Mattyp1";"Exporter_ecosyst";"Chemical";"Ratio";"Type_ecosyst";"Receiver_ecosyst"
"181";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";44.8;"Terrestrial";"Stream"
"182";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";5.6;"Terrestrial";"Stream"
"183";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";35.2;"Terrestrial";"Stream"
"184";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";26.7;"Terrestrial";"Stream"
"185";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";32.1;"Terrestrial";"Stream"
"186";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";35.7;"Terrestrial";"Stream"
"187";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";16.9;"Terrestrial";"Stream"
"188";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";25.9;"Terrestrial";"Stream"
"189";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";20.3;"Terrestrial";"Stream"
"190";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";49.3;"Terrestrial";"Stream"
"191";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";33.2;"Terrestrial";"Stream"
"192";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";26.4;"Terrestrial";"Stream"
"193";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";18.2;"Terrestrial";"Stream"
"194";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";27.272;"Terrestrial";"Stream"
"195";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";19.647343;"Terrestrial";"Stream"
"196";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";22.51207729;"Terrestrial";"Stream"
"197";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";15.47933884;"Terrestrial";"Stream"
"198";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";18.53679654;"Terrestrial";"Stream"
"199";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";20.99537037;"Terrestrial";"Stream"
"200";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";25.24444444;"Terrestrial";"Stream"
"201";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";20.055;"Terrestrial";"Stream"
"202";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";26.06896552;"Terrestrial";"Stream"
"203";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";18.51515152;"Terrestrial";"Stream"
"204";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";30.61313869;"Terrestrial";"Stream"
"205";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CP";460.6756757;"Terrestrial";"Stream"
"206";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CP";317.734375;"Terrestrial";"Stream"
"207";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CP";656.3380282;"Terrestrial";"Stream"
"208";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"NP";18.24324324;"Terrestrial";"Stream"
"209";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"NP";16.171875;"Terrestrial";"Stream"
"210";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"NP";29.15492958;"Terrestrial";"Stream"
"357";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"CP";4858;"Terrestrial";"Stream"
"358";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"CN";73;"Terrestrial";"Stream"
"359";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"NP";67;"Terrestrial";"Stream"
"360";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"CP";3036;"Terrestrial";"Stream"
"361";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"CN";82;"Terrestrial";"Stream"
"362";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"NP";39;"Terrestrial";"Stream"
"366";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"CP";968;"Terrestrial";"Stream"
"367";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"CN";36;"Terrestrial";"Stream"
